"Name","Source","Type","Rarity","Attunement","Price","Price band","Price Source","Review flag(s)","Prose","Criteria highlights","5e.tools link"
"Monster Hunter's Dagger +1","Monsters of Drakkenheim","Melee Weapon","Rare","Yes","4,895 gp","3,916 gp / 4,895 gp / 5,874 gp","Algorithm","random","These weapons are carved from bark, with a core of magical sap, and decorated with leaves from magical plants. Their hilts and shafts are bound in hair from a fey creature. This magic weapon channels the natural magic found in the elements of nature.

While holding this magic weapon, you gain a +1 bonus to attack and damage rolls made with it, and you gain a +1 bonus to spell attack rolls and the saving throw DCs of your Ranger spells. The bonus is determined by the weapon's rarity. In addition, you can use the weapon as a Spellcasting Focus for your Ranger spells.

When you hit with an attack using this weapon, you can expend a Ranger spell slot to cast *Hunter's Mark* on the target as part of the same action used to make the attack. When you cast *Hunter's Mark* in this way it does not require Concentration. Additionally, the spell lasts for one minute or until the target dies or you cast *Hunter's Mark* again using either the weapon or otherwise.

***Crafting.*** Creating a Monster Hunter's Weapon requires a Workshop and the following Components of rarity equal to the item's rarity:

- **[Animus]** Any Animus
- **[Fluid]** Sap
- **[Hair]** Hair from a Fey
- **[Hair]** Leaves
- **[Hide]** Bark

***Finesse.*** When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Light.*** When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a *Shortsword* in one hand and a *Dagger* in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative.

***Thrown.*** If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon.

***Mastery: Nick.*** When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn.","spell_attack_bonus 1, spell_save_dc_bonus 1, is_focus 1, extra_damage_multiplier 1, concentration_free 1, is_focus_prose 1","https://5e.tools/items.html#monster%20hunter's%20dagger%20+1_monstersofdrakkenheim"
"Monster Hunter's Dragon Pistol +1","Monsters of Drakkenheim","Ranged Weapon","Rare","Yes","5,145 gp","4,116 gp / 5,145 gp / 6,174 gp","Algorithm","random","*The *base item* can be found in Grim Hollow: Player’s Guide (2024), page 129.*

These weapons are carved from bark, with a core of magical sap, and decorated with leaves from magical plants. Their hilts and shafts are bound in hair from a fey creature. This magic weapon channels the natural magic found in the elements of nature.

While holding this magic weapon, you gain a +1 bonus to attack and damage rolls made with it, and you gain a +1 bonus to spell attack rolls and the saving throw DCs of your Ranger spells. The bonus is determined by the weapon's rarity. In addition, you can use the weapon as a Spellcasting Focus for your Ranger spells.

When you hit with an attack using this weapon, you can expend a Ranger spell slot to cast *Hunter's Mark* on the target as part of the same action used to make the attack. When you cast *Hunter's Mark* in this way it does not require Concentration. Additionally, the spell lasts for one minute or until the target dies or you cast *Hunter's Mark* again using either the weapon or otherwise.

***Crafting.*** Creating a Monster Hunter's Weapon requires a Workshop and the following Components of rarity equal to the item's rarity:

- **[Animus]** Any Animus
- **[Fluid]** Sap
- **[Hair]** Hair from a Fey
- **[Hair]** Leaves
- **[Hide]** Bark

***Range.*** A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range.

***Ammunition.*** You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost.

***Blackpowder.*** Blackpowder weapons fire projectiles with ear-splitting noise, shredding armor with deadly force. When fired, Blackpowder weapons emit a deafening crack audible 300 feet away. A Blackpowder weapon exposed to heavy rain, submerged, or similarly drenched in water, can't fire until dried for 1 hour. These weapons use paper cartridge bullets as ammunition.

***Loading.*** You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make.

***Mastery: Scatter.*** Scatter weapons can devastate multiple enemies at once. When you take the Attack action and hit a creature with a Scatter weapon, measure the weapon's scatter range from the target's space (or one square the creature occupies if it is Large or larger). Creatures other than the original target that fall within the weapon's scatter range take damage equal to your 1 + your Dexterity modifier (minimum 2). This damage is of the same type you dealt to the original target.","spell_attack_bonus 1, spell_save_dc_bonus 1, is_focus 1, extra_damage_multiplier 1, concentration_free 1, is_focus_prose 1","https://5e.tools/items.html#monster%20hunter's%20dragon%20pistol%20+1_monstersofdrakkenheim"
"Monster Hunter's Hand Crossbow +2","Monsters of Drakkenheim","Ranged Weapon","Very Rare","Yes","13,962 gp","11,169 gp / 13,962 gp / 16,754 gp","Algorithm","random","These weapons are carved from bark, with a core of magical sap, and decorated with leaves from magical plants. Their hilts and shafts are bound in hair from a fey creature. This magic weapon channels the natural magic found in the elements of nature.

While holding this magic weapon, you gain a +2 bonus to attack and damage rolls made with it, and you gain a +2 bonus to spell attack rolls and the saving throw DCs of your Ranger spells. The bonus is determined by the weapon's rarity. In addition, you can use the weapon as a Spellcasting Focus for your Ranger spells.

When you hit with an attack using this weapon, you can expend a Ranger spell slot to cast *Hunter's Mark* on the target as part of the same action used to make the attack. When you cast *Hunter's Mark* in this way it does not require Concentration. Additionally, the spell lasts for one minute or until the target dies or you cast *Hunter's Mark* again using either the weapon or otherwise.

***Crafting.*** Creating a Monster Hunter's Weapon requires a Workshop and the following Components of rarity equal to the item's rarity:

- **[Animus]** Any Animus
- **[Fluid]** Sap
- **[Hair]** Hair from a Fey
- **[Hair]** Leaves
- **[Hide]** Bark

***Range.*** A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range.

***Ammunition.*** You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost.

***Light.*** When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a *Shortsword* in one hand and a *Dagger* in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative.

***Loading.*** You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make.

***Mastery: Vex.*** If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn.","spell_attack_bonus 2, spell_save_dc_bonus 2, is_focus 1, extra_damage_multiplier 1, concentration_free 1, is_focus_prose 1","https://5e.tools/items.html#monster%20hunter's%20hand%20crossbow%20+2_monstersofdrakkenheim"
"Monster Hunter's Handaxe +1","Monsters of Drakkenheim","Melee Weapon","Rare","Yes","4,956 gp","3,965 gp / 4,956 gp / 5,947 gp","Algorithm","random","These weapons are carved from bark, with a core of magical sap, and decorated with leaves from magical plants. Their hilts and shafts are bound in hair from a fey creature. This magic weapon channels the natural magic found in the elements of nature.

While holding this magic weapon, you gain a +1 bonus to attack and damage rolls made with it, and you gain a +1 bonus to spell attack rolls and the saving throw DCs of your Ranger spells. The bonus is determined by the weapon's rarity. In addition, you can use the weapon as a Spellcasting Focus for your Ranger spells.

When you hit with an attack using this weapon, you can expend a Ranger spell slot to cast *Hunter's Mark* on the target as part of the same action used to make the attack. When you cast *Hunter's Mark* in this way it does not require Concentration. Additionally, the spell lasts for one minute or until the target dies or you cast *Hunter's Mark* again using either the weapon or otherwise.

***Crafting.*** Creating a Monster Hunter's Weapon requires a Workshop and the following Components of rarity equal to the item's rarity:

- **[Animus]** Any Animus
- **[Fluid]** Sap
- **[Hair]** Hair from a Fey
- **[Hair]** Leaves
- **[Hide]** Bark

***Light.*** When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a *Shortsword* in one hand and a *Dagger* in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative.

***Thrown.*** If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon.

***Mastery: Vex.*** If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn.","spell_attack_bonus 1, spell_save_dc_bonus 1, is_focus 1, extra_damage_multiplier 1, concentration_free 1, is_focus_prose 1","https://5e.tools/items.html#monster%20hunter's%20handaxe%20+1_monstersofdrakkenheim"
"Monster Hunter's Repeater Needler +3","Monsters of Drakkenheim","Ranged Weapon","Legendary","Yes","8,000 gp","6,400 gp / 8,000 gp / 9,600 gp","Amalgamated (DSA,MSRP,DMPG)","floor-tripwire","*The *base item* can be found in Grim Hollow: Player’s Guide (2024), page 129.*

These weapons are carved from bark, with a core of magical sap, and decorated with leaves from magical plants. Their hilts and shafts are bound in hair from a fey creature. This magic weapon channels the natural magic found in the elements of nature.

While holding this magic weapon, you gain a +3 bonus to attack and damage rolls made with it, and you gain a +3 bonus to spell attack rolls and the saving throw DCs of your Ranger spells. The bonus is determined by the weapon's rarity. In addition, you can use the weapon as a Spellcasting Focus for your Ranger spells.

When you hit with an attack using this weapon, you can expend a Ranger spell slot to cast *Hunter's Mark* on the target as part of the same action used to make the attack. When you cast *Hunter's Mark* in this way it does not require Concentration. Additionally, the spell lasts for one minute or until the target dies or you cast *Hunter's Mark* again using either the weapon or otherwise.

***Crafting.*** Creating a Monster Hunter's Weapon requires a Workshop and the following Components of rarity equal to the item's rarity:

- **[Animus]** Any Animus
- **[Fluid]** Sap
- **[Hair]** Hair from a Fey
- **[Hair]** Leaves
- **[Hide]** Bark

***Range.*** A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range.

***Ammunition.*** You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost.

***Light.*** When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a *Shortsword* in one hand and a *Dagger* in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative.

***Magazine.*** A weapon with the Magazine property also has a number and an ammunition type. The weapon holds that amount and type of ammunition, which you can expend before needing to reload the weapon. As a Bonus Action, you may remove a *Magazine* and then reload it with a new *Magazine*. A *Magazine* weapon comes with two empty magazines included in the weapon's cost and weight. An additional empty magazine for a Magazine weapon costs 25 GP. Loading an empty Magazine with ammunition takes 1 minute.

***Repeater.*** Repeater weapons can fire ammo in quick succession, using multiple barrels or quick-reloading mechanisms. When you take the Attack action with a Repeater weapon, you can shoot multiple times if you have features that let you attack more than once as part of that action, such as Extra Attack. After taking the Attack action you can use a Bonus Action to attack once with the same weapon. You don't add your ability modifier to the Bonus Action's attack, unless that modifier is negative.

***Mastery: Vex.*** If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn.","spell_attack_bonus 3, spell_save_dc_bonus 3, is_focus 1, extra_damage_multiplier 1, concentration_free 1, is_focus_prose 1","https://5e.tools/items.html#monster%20hunter's%20repeater%20needler%20+3_monstersofdrakkenheim"
"Monster Hunter's Steel Jaws +2","Monsters of Drakkenheim","Melee Weapon","Very Rare","Yes","14,338 gp","11,470 gp / 14,338 gp / 17,206 gp","Algorithm","random","Because they have no hands, worgs cannot wield weapons in the same way that most player characters can. However, worgs can wield a specially designed Martial Melee weapon called ""Steel Jaws."" Only Worg can wield Steel Jaws, fitting as they do over a Worg's teeth. A Worg cannot use its Bite trait while it is wielding Steel Jaws.","spell_attack_bonus 2, spell_save_dc_bonus 2, is_focus 1, extra_damage_multiplier 1, concentration_free 1, is_focus_prose 1","https://5e.tools/items.html#monster%20hunter's%20steel%20jaws%20+2_monstersofdrakkenheim"
"Monster Hunter's Yklwa +3","Monsters of Drakkenheim","Melee Weapon","Legendary","Yes","46,720 gp","37,376 gp / 46,720 gp / 56,064 gp","Algorithm","random","*The *base item* can be found in Tomb of Annihilation, page 32.*

These weapons are carved from bark, with a core of magical sap, and decorated with leaves from magical plants. Their hilts and shafts are bound in hair from a fey creature. This magic weapon channels the natural magic found in the elements of nature.

While holding this magic weapon, you gain a +3 bonus to attack and damage rolls made with it, and you gain a +3 bonus to spell attack rolls and the saving throw DCs of your Ranger spells. The bonus is determined by the weapon's rarity. In addition, you can use the weapon as a Spellcasting Focus for your Ranger spells.

When you hit with an attack using this weapon, you can expend a Ranger spell slot to cast *Hunter's Mark* on the target as part of the same action used to make the attack. When you cast *Hunter's Mark* in this way it does not require Concentration. Additionally, the spell lasts for one minute or until the target dies or you cast *Hunter's Mark* again using either the weapon or otherwise.

***Crafting.*** Creating a Monster Hunter's Weapon requires a Workshop and the following Components of rarity equal to the item's rarity:

- **[Animus]** Any Animus
- **[Fluid]** Sap
- **[Hair]** Hair from a Fey
- **[Hair]** Leaves
- **[Hide]** Bark

A yklwa (pronounced YICK-ul-wah) is a simple melee weapon that is the traditional weapon of Chultan warriors. A yklwa consists of a 3-foot wooden shaft with a steel or stone blade up to 18 inches long. Although it has the thrown weapon property, the yklwa is not well balanced for throwing.

***Thrown.*** If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.","spell_attack_bonus 3, spell_save_dc_bonus 3, is_focus 1, extra_damage_multiplier 1, concentration_free 1, is_focus_prose 1","https://5e.tools/items.html#monster%20hunter's%20yklwa%20+3_monstersofdrakkenheim"
"Moon-Touched Shortsword","Dungeon Master's Guide (2024)","Melee Weapon","Common","No","345 gp","276 gp / 345 gp / 414 gp","Amalgamated (DSA,MSRP)","random","In Darkness, the unsheathed blade of this weapon sheds moonlight, creating Bright Light in a 15-foot radius and Dim Light for an additional 15 feet.

***Finesse.*** When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Light.*** When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a *Shortsword* in one hand and a *Dagger* in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative.

***Mastery: Vex.*** If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn.","extra_damage_multiplier 1","https://5e.tools/items.html#moon-touched%20shortsword_xdmg"
"Moonstone","Dungeon Master's Guide (2024)","$G","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","A white with pale-blue glow gemstone.","extra_damage_multiplier 1","https://5e.tools/items.html#moonstone_xdmg"
"Mudslick Tower","Phandelver and Below: The Shattered Obelisk","Wondrous Item","Very Rare","No","45,000 gp","36,000 gp / 45,000 gp / 54,000 gp","Algorithm","battery-parity","You can use an action to place this 1-inch-diameter granite sphere on the ground and speak its command word, which is ""petrification"" in Terran. The sphere rapidly grows into a stout tower that remains until you use an action to touch the tower and speak the command word again, whereupon the tower shrinks back to a 1-inch-diameter granite sphere. The tower must be empty to shrink in this way. The tower bristles with muddy knobs that constantly extrude and retract across its surface, as though the tower were breathing through a coating of thick mud.

Each creature in the area where the tower appears must make a DC 15 Dexterity saving throw, taking 10d10 bludgeoning damage on a failed save, or half as much damage on a successful one. In either case, the creature is pushed to an unoccupied space outside but next to the tower. Objects in the area that aren't being worn or carried take this damage and are pushed automatically.

Whenever it expands, the mudslick tower merges with any natural stone it touches, awkwardly tipping and wedging itself to touch as much natural stone as it can.

The tower is 20 feet on a side and 30 feet high, with arrow slits on all sides and a battlement atop it. Its interior is divided into two floors, with a ladder running along one wall to connect them. The ladder ends at a trapdoor leading to the roof. When activated, the tower has a small door on the side facing you. The door opens only at your command, which you can speak as a bonus action. It is immune to the *knock* spell and similar magic, such as that of a chime of opening.

Although it looks like stone, the tower is made of adamantine, and its magic prevents creatures from tipping it over. The roof, the door, and the walls each have 100 hit points, immunity to damage from nonmagical weapons excluding siege weapons, and resistance to all other damage. While merged with natural stone, the mudslick tower has immunity to all damage. Only a *wish* spell can repair the tower (this use of the spell counts as replicating a spell of 8th level or lower). Each casting of *wish* causes the roof, the door, or one wall to regain 50 hit points.","healing_consumable_avg 50, save_dc 15, spell_battery_max_level 8, is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#mudslick%20tower_pabtso"
"Necronomicon Ex Corvis","Humblewood Campaign Setting","Wondrous Item","Artifact","Yes","251,256 gp","201,004 gp / 251,256 gp / 301,507 gp","Algorithm","random","This legendary tome of dark necromancy was penned by the mad corvum necromancer Lathrus, of the Night's Call. The book is one of a kind and contains terrible necromantic secrets. The Necronomicon Ex Corvis is a spellbook, and as such only wizards can truly benefit from studying the dark secrets within. By spending a full week studying the dark secrets in this tome, your Intelligence score increases by 2. These secrets gnaw at your mind, however, and your Wisdom score decreases by 1. By spending at least a minute reciting a ritual listed in this book, you can summon forth 1d4 + 2 shadow. These creatures are loyal to you and can understand any instructions you give them. They will carry out these instructions to the best of their ability. This property can only be used once per week. You may add the spells listed below into your spellbook. However, the tome removes the restriction that requires you to be able to prepare and cast these spells. In effect, you can copy these spells to your spellbook now, though they will only be available to prepare once you reach a level at which you can cast them. Additionally, rather than pay gold pieces to copy any spell within into your spellbook, you may deal one point of damage to yourself and take one level of exhaustion to scribe the spell in your own blood. 3rd animate dead, bestow curse, vampiric touch 4th blight 6th circle of death, magic jar 7th finger of death After copying at least one spell from this tome into your spellbook, you must succeed on a 16 Wisdom saving throw or become cursed (as bestow curse), with the effect of the curse being decided by the GM. The curse persists for 2d4 days, but its duration resets anytime you copy a spell from this book. Otherwise, only a remove curse spell cast using a 5th level or higher spell slot can rid you of this effect. Unlike other artifacts, the book is not immune to damage. Pages removed from the book will lose their magic within a day. Additionally, exposing the book to direct sunlight for at least 8 hours will cause the dark magic within to dissipate, rendering it useless.","is_wondrous 1, is_focus 1, extra_damage_multiplier 1, tome_manual_boost 1","https://5e.tools/items.html#necronomicon%20ex%20corvis_humblewoodcampaignsetting"
"Nine Lives Stealer Dart","Dungeon Master's Guide (2024)","Ranged Weapon","Very Rare","Yes","29,071 gp","23,256 gp / 29,071 gp / 34,885 gp","Single source (DSA)","random","You gain a +2 bonus to attack rolls and damage rolls made with this magic weapon.

***Life Stealing.*** The weapon has 1d8 + 1 charges. When you attack a creature that has fewer than 100 Hit Points with this weapon and roll a 20 on the d20 for the attack roll, the creature must succeed on a DC 15 Constitution saving throw or be slain instantly as the sword tears its life force from its body. Constructs and Undead succeed on the save automatically. The weapon loses 1 charge if the creature is slain. When the weapon has no charges remaining, it loses this property.

***Range.*** A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range.

***Finesse.*** When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Thrown.*** If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon.

***Mastery: Vex.*** If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn.","save_dc 15, weapon_bonus 2, extra_damage_multiplier 1","https://5e.tools/items.html#nine%20lives%20stealer%20dart_xdmg"
"Nine Lives Stealer Spear","Dungeon Master's Guide (2024)","Melee Weapon","Very Rare","Yes","27,947 gp","22,357 gp / 27,947 gp / 33,536 gp","Single source (DSA)","random","You gain a +2 bonus to attack rolls and damage rolls made with this magic weapon.

***Life Stealing.*** The weapon has 1d8 + 1 charges. When you attack a creature that has fewer than 100 Hit Points with this weapon and roll a 20 on the d20 for the attack roll, the creature must succeed on a DC 15 Constitution saving throw or be slain instantly as the sword tears its life force from its body. Constructs and Undead succeed on the save automatically. The weapon loses 1 charge if the creature is slain. When the weapon has no charges remaining, it loses this property.

***Thrown.*** If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon.

***Versatile.*** A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack.

***Mastery: Sap.*** If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn.","save_dc 15, weapon_bonus 2, extra_damage_multiplier 1","https://5e.tools/items.html#nine%20lives%20stealer%20spear_xdmg"
"Noisemaker","Grim Hollow: Player's Guide (2024)","AdvEq","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","This small mechanical device is a specialty of gnomish crafters. As a Utilize action, you can throw the Noisemaker into a space within 60 feet. When it lands, it makes a loud noise of some kind, depending on the whims of the creator: a musical clash, a whistling, a whirring, a buzzing, etc. This noise can be heard up to half a mile away. A creature with an Intelligence score of 3 or less that is within 60 feet of the device when it goes off must succeed in a DC 10 Wisdom saving throw. On a failed save, the creature has the Frightened condition for one minute. As an Influence action, another creature who the Frightened creature can see or hear can attempt a DC 20 Wisdom (Animal Handling) or Charisma (Persuasion) check. On a success, the Frightened condition ends on that creature.","save_dc 20, extra_damage_multiplier 1","https://5e.tools/items.html#noisemaker_grimhollowpg24"
"Obviator's Lenses","Acquisitions Incorporated","Wondrous Item","Varies","No","750 gp","600 gp / 750 gp / 900 gp","Algorithm","random","Also at rank 2, you gain the use of an uncommon magic item taking the form of a pair of spectacles, a spyglass, a monocle, or any other device with one or two lenses. When you look through the obviator's lenses, you use a bonus action to make them function as *eyes of minute seeing* or *eyes of the eagle*. Once you make this choice, it cannot be changed until the next dawn.

***Enhanced Lenses.*** At rank 4, your obviator's lenses gain additional power and become a rare magic item. The lenses now function as both *eyes of the eagle* and *eyes of minute seeing*.

Additionally, you can focus the power of the lenses to gain accuracy in combat, gaining advantage on a weapon attack roll (no action required). If that attack hits, roll one additional weapon damage die. This property of the lenses can't be used again until the next dawn.","is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#obviator's%20lenses_ai"
"Occultant Abacus","Acquisitions Incorporated","Wondrous Item","Varies","Yes","765 gp","612 gp / 765 gp / 918 gp","Algorithm","random","Head office grants you the use of a unique item known as an occultant abacus (sometimes just referred to as an occultant), whose beads resemble tiny skulls.

***Read the Kill.*** Also at rank 1, your occultant abacus not only tracks your franchise's kills, it helps you determine the impact of those kills on the franchise's fate. Over a period of 1 minute, you can study a creature killed by someone in your franchise within the last 24 hours, then grant the character who slew it a d10. Once within the next hour, that character can add the d10 to an attack roll, ability check, or saving throw. If it's not clear who administered the killing blow, you grant this benefit to a random creature involved in the fight. Once you use this feature, you can't use it again until you finish a long rest.

|  d6 | Reading                                                                                                                                             |
|: :| --|
|  1  | Using a tiny bellows to pump one last breath into a corpse.                                                                                         |
|  2  | Reading the entrails with special reading-the-entrails glasses.                                                                                     |
|  3  | Burning a small piece of the body and looking for shapes in the smoke.                                                                              |
|  4  | A cautious, reasoned, professional guesstimate.                                                                                                     |
|  5  | Careful measurements. The distance between nostrils. The difference between the index finger and the middle finger. The elasticity of the ear lobe. |
|  6  | You take a long, careful look, and then decide based on which fellow franchisee has been nice to you lately.                                        |

***Eldritch Occultant.*** Starting at rank 2, your occultant abacus becomes an uncommon magic item that can track lives both eliminated and saved. While holding your occultant abacus within 5 feet of a creature killed within the past 24 hours, you can cast the *augury* spell. The course of action you inquire about with the spell does not need to have any connection to the dead creature. This property of the occultant abacus can't be used again until the next dawn.

***Bring Out Your Dead.*** Also at rank 2, you regain the use of your Read the Kill feature after you finish a short or long rest.

***Bead of Instant Karma.*** At rank 3, one of the beads on your occultant abacus channels the power of instant karma, turning the occultant abacus into a rare magic item. As a reaction, you can target one creature you can see that is about to attempt an ability check, attack roll, or saving throw, either granting advantage or imposing disadvantage on the roll. The bead crumbles to dust when used, reappearing on your occultant abacus at the next dawn.

***Bead of Diverted Karma.*** At rank 4, one of the beads on your occultant abacus allows you to divert karma to where it's needed, turning the occultant abacus into a very rare magic item. While the bead is unused, you know automatically when any creature you can see is about to make an ability check, attack roll, or saving throw with disadvantage. When such a roll is made, you can use a reaction to grant a d10 to a different creature you can see. That creature can add the d10 to any ability check, attack roll, or saving throw it makes within the next minute. The bead crumbles to dust when used, reappearing on your occultant abacus at the next dawn.

***Correct the Balance.*** As a rank 4 occultant, you learn that sometimes the death of a creature has unintended consequences. Within seven days of a creature's death, you can use your occultant abacus to divine ways to reverse or mitigate events resulting from that death. As an action, make a DC 15 Intelligence (Religion) check. On a success, you learn the relevant information based on the nature of the creature and its place in the world.

If you fail the check, this property of the occultant abacus can't be used again until the next dawn. If you succeed on the check, this property can't be used again until dawn seven days later.","save_dc 15, is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#occultant%20abacus_ai"
"Oceanic Light Sentira Lens","Tal'Dorei Campaign Setting Reborn","Ranged Weapon","Rare","Yes","790 gp","632 gp / 790 gp / 948 gp","Algorithm","random","—","weapon_bonus 1, extra_damage_multiplier 1","https://5e.tools/items.html#oceanic%20light%20sentira%20lens_taldoreicampaignsettingreborn"
"Olisuba Leaf","Explorer's Guide to Wildemount","Adventuring Gear","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","These dried leaves of the Olisuba tree, when steeped to make a tea, can help a body recover from strenuous activity. If you drink a dose of Olisuba tea during a long rest, your exhaustion level is reduced by 2 instead of 1 at the end of that long rest.","extra_damage_multiplier 1","https://5e.tools/items.html#olisuba%20leaf_egw"
"Onyx","Dungeon Master's Guide (2024)","$G","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","A bands of black and white, or pure black or white gemstone.","extra_damage_multiplier 1","https://5e.tools/items.html#onyx_xdmg"
"Opal","Dungeon Master's Guide (2024)","$G","Mundane","No","1,000 gp","800 gp / 1,000 gp / 1,200 gp","Official","floor-tripwire","A pale blue with green and golden mottling gemstone.","extra_damage_multiplier 1","https://5e.tools/items.html#opal_xdmg"
