"Name","Source","Type","Rarity","Attunement","Price (gp)","Price Formatted","Price Source","Has Reference"
"Javelin of Agonizing Paralysis","CoA","M|XPHB","Very Rare","open","12808.88","12,808 gp","Algorithm","True"
"Javelin of Backbiting","TftYP","M","Very Rare","open","3653.84","3,653 gp","Algorithm","False"
"Javelin of Certain Death","EGW","M|XPHB","Rare","No","3875.32","3,875 gp","Algorithm","True"
"Javelin of Lightning","XDMG","M|XPHB","Uncommon","No","960.73","960 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Javelin of the Sun And Moon","ObojimaTallGrass","M","Rare","open","3439.4","3,439 gp","Algorithm","True"
"Javelin of Warning","XDMG","M|XPHB","Uncommon","open","652.97","652 gp","Algorithm","True"
"Jester Card","BMT","","Legendary","No","38893.98","38,893 gp","Algorithm","False"
"Jester's Mask","BMT","","Legendary","class","100621.46","100,621 gp","Algorithm","False"
"Jewel of Three Prayers (Awakened)","CRCotN","","Legendary","open","44159.32","44,159 gp","Algorithm","False"
"Jewel of Three Prayers (Dormant)","CRCotN","","Legendary","open","41741.89","41,741 gp","Algorithm","False"
"Jewel of Three Prayers (Exalted)","CRCotN","","Legendary","open","35036.36","35,036 gp","Algorithm","False"
"Jo'Catian Denier Longsword","GriffonsSaddlebag2","M|XPHB","Uncommon","class","1935.0","1,935 gp","Algorithm","True"
"Jo'Catian Denier Scimitar","GriffonsSaddlebag2","M|XPHB","Uncommon","class","1800.0","1,800 gp","Algorithm","True"
"Jo'Catian Denier Shortsword","GriffonsSaddlebag2","M|XPHB","Uncommon","class","1665.0","1,665 gp","Algorithm","True"
"Jora Charm","ExploringEberron24","","Common","class","89.1","89 gp","Algorithm","False"
"Junky +1 Dagger","TftYP","M","Unknown Magic","No","548.15","548 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Kagonesti Forest Shroud","DSotDQ","","Rare","open","6594.94","6,594 gp","Algorithm","False"
"Keen Battleaxe","TLotRR","M","Unknown Magic","No","753.78","753 gp","Algorithm","True"
"Keen Blowgun","TLotRR","R","Unknown Magic","No","735.55","735 gp","Algorithm","True"
"Keen Club","TLotRR","M","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Dagger","TLotRR","M","Unknown Magic","No","707.43","707 gp","Algorithm","True"
"Keen Dart","TLotRR","R","Unknown Magic","No","689.19","689 gp","Algorithm","True"
"Keen Double-Bladed Scimitar","TLotRR","M","Unknown Magic","No","759.12","759 gp","Algorithm","True"
"Keen Flail","TLotRR","M","Unknown Magic","No","744.67","744 gp","Algorithm","True"
"Keen Glaive","TLotRR","M","Unknown Magic","No","759.12","759 gp","Algorithm","True"
"Keen Greataxe","TLotRR","M","Unknown Magic","No","789.27","789 gp","Algorithm","True"
"Keen Greatclub","TLotRR","M","Unknown Magic","No","765.84","765 gp","Algorithm","True"
"Keen Greatsword","TLotRR","M","Unknown Magic","No","787.24","787 gp","Algorithm","True"
"Keen Halberd","TLotRR","M","Unknown Magic","No","759.12","759 gp","Algorithm","True"
"Keen Hand Crossbow","TLotRR","R","Unknown Magic","No","721.88","721 gp","Algorithm","True"
"Keen Handaxe","TLotRR","M","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Heavy Crossbow","TLotRR","R","Unknown Magic","No","773.57","773 gp","Algorithm","True"
"Keen Hooked Shortspear","TLotRR","M","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Hoopak","TLotRR","M","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Javelin","TLotRR","M","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Lance","TLotRR","M","Unknown Magic","No","787.24","787 gp","Algorithm","True"
"Keen Light Crossbow","TLotRR","R","Unknown Magic","No","756.72","756 gp","Algorithm","True"
"Keen Light Hammer","TLotRR","M","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Light Repeating Crossbow","TLotRR","R","Unknown Magic","No","756.72","756 gp","Algorithm","True"
"Keen Longbow","TLotRR","R","Unknown Magic","No","744.67","744 gp","Algorithm","True"
"Keen Longsword","TLotRR","M","Unknown Magic","No","750.0","750 gp","Algorithm","True"
"Keen Mace","TLotRR","M","Unknown Magic","No","725.66","725 gp","Algorithm","True"
"Keen Maul","TLotRR","M","Unknown Magic","No","793.96","793 gp","Algorithm","True"
"Keen Morningstar","TLotRR","M","Unknown Magic","No","753.78","753 gp","Algorithm","True"
"Keen Musket","TLotRR","R","Unknown Magic","No","793.96","793 gp","Algorithm","True"
"Keen Net","TLotRR","R","Unknown Magic","No","750.0","750 gp","Algorithm","True"
"Keen Pike","TLotRR","M","Unknown Magic","No","773.57","773 gp","Algorithm","True"
"Keen Pistol","TLotRR","R","Unknown Magic","No","750.0","750 gp","Algorithm","True"
"Keen Quarterstaff","TLotRR","M","Unknown Magic","No","725.66","725 gp","Algorithm","True"
"Keen Rapier","TLotRR","M","Unknown Magic","No","744.67","744 gp","Algorithm","True"
"Keen Scimitar","TLotRR","M","Unknown Magic","No","721.88","721 gp","Algorithm","True"
"Keen Shortbow","TLotRR","R","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Shortsword","TLotRR","M","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Sickle","TLotRR","M","Unknown Magic","No","716.54","716 gp","Algorithm","True"
"Keen Sling","TLotRR","R","Unknown Magic","No","721.88","721 gp","Algorithm","True"
"Keen Spear","TLotRR","M","Unknown Magic","No","721.88","721 gp","Algorithm","True"
"Keen Trident","TLotRR","M","Unknown Magic","No","725.66","725 gp","Algorithm","True"
"Keen War Pick","TLotRR","M","Unknown Magic","No","744.67","744 gp","Algorithm","True"
"Keen Warhammer","TLotRR","M","Unknown Magic","No","744.67","744 gp","Algorithm","True"
"Keen Whip","TLotRR","M","Unknown Magic","No","721.88","721 gp","Algorithm","True"
"Keen Yklwa","TLotRR","M","Unknown Magic","No","750.0","750 gp","Algorithm","True"
"Keeper's Fang","ExploringEberron24","M|XPHB","Rare","No","13648.15","13,648 gp","Algorithm","False"
"Keoghtom's Ointment","XDMG","","Uncommon","No","856.63","856 gp","Amalgamated (DSA,DMPG)","True"
"Key Card","BMT","","Legendary","No","39768.98","39,768 gp","Algorithm","False"
"Keycharm","ERLW","","Common","class","67.57","67 gp","Amalgamated (MSRP,DMPG)","True"
"Khrusor, Spear of Heliod","MOT","M","Artifact","open","157500.0","157,500 gp","Algorithm","False"
"Knave's Eye Patch","WDH","","Rare","open","2410.5","2,410 gp","Amalgamated (MSRP,DMPG)","True"
"Knight Card","BMT","","Legendary","No","38893.98","38,893 gp","Algorithm","False"
"Knightly Lance of Certain Death","EGW","M|XPHB","Rare","No","4123.77","4,123 gp","Algorithm","True"
"Knightly Sword Armblade","ERLW","M|XPHB","Common","class","87.36","87 gp","Algorithm","True"
"Knightly Sword of Certain Death","EGW","M|XPHB","Rare","No","3993.2","3,993 gp","Algorithm","True"
"Korolnor Scepter","SKT","M","Legendary","open","55111.4","55,111 gp","Single source (DMPG)","True"
"Kundar Chains","ExploringEberron24","","Uncommon","No","760.35","760 gp","Algorithm","False"
"Kyrzin's Ooze","ERLW","","Very Rare","open","19930.93","19,930 gp","Amalgamated (MSRP,DMPG)","True"
"Kythrian Manchineel Rod","ERLW","SCF|XPHB","Common","open","90.0","90 gp","Algorithm","True"
"Kythrian Manchineel Staff","ERLW","SCF|XPHB","Common","open","96.75","96 gp","Algorithm","True"
"Kythrian Manchineel Wand","ERLW","SCF|XPHB","Common","open","83.25","83 gp","Algorithm","True"
"Kythrian Skarn Crystal","ERLW","SCF|XPHB","Common","open","90.0","90 gp","Algorithm","True"
"Kythrian Skarn Orb","ERLW","SCF|XPHB","Common","open","90.0","90 gp","Algorithm","True"
"Lamannian Flint Crystal","ERLW","SCF|XPHB","Common","open","90.0","90 gp","Algorithm","True"
"Lamannian Flint Orb","ERLW","SCF|XPHB","Common","open","90.0","90 gp","Algorithm","True"
"Lamannian Oak Rod","ERLW","SCF|XPHB","Common","open","90.0","90 gp","Algorithm","True"
"Lamannian Oak Staff","ERLW","SCF|XPHB","Common","open","96.75","96 gp","Algorithm","True"
"Lamannian Oak Wand","ERLW","SCF|XPHB","Common","open","83.25","83 gp","Algorithm","True"
"Lamplighter","ExploringEberron24","WD|XDMG","Common","No","175.32","175 gp","Algorithm","False"
"Lance Armblade","ERLW","M|XPHB","Common","class","89.68","89 gp","Algorithm","True"
"Lance Jaw Breakers (rare)","HelianasGuidetoMonsterHunting","M","Rare","class","612.18","612 gp","Algorithm","True"
"Lance Jaw Breakers (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","class","2870.92","2,870 gp","Algorithm","True"
"Lance of Agonizing Paralysis","CoA","M|XPHB","Very Rare","open","13697.0","13,697 gp","Algorithm","True"
"Lance of Certain Death","EGW","M|XPHB","Rare","No","4023.77","4,023 gp","Algorithm","True"
"Lance of the Sun And Moon","ObojimaTallGrass","M","Rare","open","3778.76","3,778 gp","Algorithm","True"
"Lance of Throne's Command","BMT","M|XPHB","Very Rare","open","15838.43","15,838 gp","Algorithm","True"
"Lance of Warning","XDMG","M|XPHB","Uncommon","open","678.02","678 gp","Algorithm","True"
"Lantern of Revealing","XDMG","","Uncommon","No","2377.03","2,377 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Lantern of Tracking","IDRotF","","Common","No","89.0","89 gp","Single source (DMPG)","True"
"Lash of Immolation","BGG","M","Rare","No","1476.9","1,476 gp","Algorithm","False"
"Lash of Shadows (Awakened)","EGW","M","Artifact","open","50000.0","50,000 gp","Algorithm","False"
"Lash of Shadows (Dormant)","EGW","M","Artifact","open","50000.0","50,000 gp","Algorithm","False"
"Lash of Shadows (Exalted)","EGW","M","Artifact","open","50000.0","50,000 gp","Algorithm","False"
"Last Stand Armor","EGW","GV|DMG","Very Rare","No","8921.69","8,921 gp","Single source (MSRP)","True"
"Last Stand Breastplate","EGW","MA|XPHB","Very Rare","No","15000.0","15,000 gp","Algorithm","True"
"Last Stand Chain Mail","EGW","HA|XPHB","Very Rare","No","15842.86","15,842 gp","Algorithm","True"
"Last Stand Chain Shirt","EGW","MA|XPHB","Very Rare","No","14678.57","14,678 gp","Algorithm","True"
"Last Stand Half Plate Armor","EGW","MA|XPHB","Very Rare","No","15521.43","15,521 gp","Algorithm","True"
"Last Stand Hide Armor","EGW","MA|XPHB","Very Rare","No","14357.14","14,357 gp","Single source (MSRP)","True"
"Last Stand Leather Armor","EGW","LA|XPHB","Very Rare","No","14035.71","14,035 gp","Algorithm","True"
"Last Stand Leather Corslet","EGW","LA","Very Rare","No","14357.14","14,357 gp","Algorithm","True"
"Last Stand Leather Shirt","EGW","LA","Very Rare","No","14035.71","14,035 gp","Algorithm","True"
"Last Stand Padded Armor","EGW","LA|XPHB","Very Rare","No","14235.71","14,235 gp","Algorithm","True"
"Last Stand Plate Armor","EGW","HA|XPHB","Very Rare","No","16485.71","16,485 gp","Algorithm","True"
"Last Stand Ring Mail","EGW","HA|XPHB","Very Rare","No","15200.0","15,200 gp","Algorithm","True"
"Last Stand Ring-Mail","EGW","HA","Very Rare","No","15521.43","15,521 gp","Algorithm","True"
"Last Stand Scale Armour","EGW","MA","Very Rare","No","15200.0","15,200 gp","Algorithm","True"
"Last Stand Scale Mail","EGW","MA|XPHB","Very Rare","No","15200.0","15,200 gp","Algorithm","True"
"Last Stand Spiked Armor","EGW","MA","Very Rare","No","15200.0","15,200 gp","Algorithm","True"
"Last Stand Splint Armor","EGW","HA|XPHB","Very Rare","No","16164.29","16,164 gp","Algorithm","True"
"Last Stand Studded Leather Armor","EGW","LA|XPHB","Very Rare","No","14357.14","14,357 gp","Algorithm","True"
"Leather Armor of Acid Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Cold Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Fire Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Force Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Gleaming","XDMG","LA|XPHB","Common","No","93.57","93 gp","Algorithm","True"
"Leather Armor of Lightning Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Algorithm","True"
"Leather Armor of Necrotic Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Poison Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Psychic Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Radiant Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Thunder Resistance","XDMG","LA|XPHB","Rare","open","3621.21","3,621 gp","Single source (DSA)","True"
"Leather Armor of Vulnerability (Bludgeoning)","XDMG","LA|XPHB","Rare","open","2715.91","2,715 gp","Algorithm","True"
"Leather Armor of Vulnerability (Piercing)","XDMG","LA|XPHB","Rare","open","2715.91","2,715 gp","Algorithm","True"
"Leather Armor of Vulnerability (Slashing)","XDMG","LA|XPHB","Rare","open","2715.91","2,715 gp","Algorithm","True"
"Leather Armor of Weightlessness","BMT","LA|XPHB","Uncommon","open","2736.96","2,736 gp","Algorithm","True"
"Leather Corslet of Weightlessness","BMT","LA","Uncommon","open","2799.64","2,799 gp","Algorithm","True"
"Leather Shirt of Weightlessness","BMT","LA","Uncommon","open","2736.96","2,736 gp","Algorithm","True"
"Lesser Hammock of Worlds","JttRC","","Legendary","No","38893.98","38,893 gp","Algorithm","False"
"Libram of Souls and Flesh","TCE","SCF","Rare","class","3660.12","3,660 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Lifewell Tattoo","TCE","","Very Rare","open","9217.43","9,217 gp","Amalgamated (DSA,MSRP,DMPG)","True"
"Light Bayonet of Warning","XDMG","M","Uncommon","open","647.81","647 gp","Algorithm","True"
"Light Crossbow of Certain Death","EGW","R|XPHB","Rare","No","4015.73","4,015 gp","Algorithm","True"
"Light Crossbow of the Sun And Moon","ObojimaTallGrass","R","Rare","open","3632.25","3,632 gp","Algorithm","True"
"Light Crossbow of Warning","XDMG","R|XPHB","Uncommon","open","676.66","676 gp","Algorithm","True"
"Light Hammer Armblade","ERLW","M|XPHB","Common","class","80.0","80 gp","Algorithm","True"
"Light Hammer Haemstrike (rare)","HelianasGuidetoMonsterHunting","M","Rare","class","558.25","558 gp","Algorithm","True"
"Light Hammer Haemstrike (uncommon)","HelianasGuidetoMonsterHunting","M","Uncommon","class","577.5","577 gp","Algorithm","True"
"Light Hammer Haemstrike (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","class","2618.0","2,618 gp","Algorithm","True"
"Light Hammer Jaw Breakers (rare)","HelianasGuidetoMonsterHunting","M","Rare","class","552.15","552 gp","Algorithm","True"
"Light Hammer Jaw Breakers (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","class","2589.38","2,589 gp","Algorithm","True"
"Light Hammer Mawling Maul (rare)","HelianasGuidetoMonsterHunting","M","Rare","No","3850.0","3,850 gp","Algorithm","True"
"Light Hammer Mawling Maul (uncommon)","HelianasGuidetoMonsterHunting","M","Uncommon","No","721.88","721 gp","Algorithm","True"
"Light Hammer of Agonizing Paralysis","CoA","M|XPHB","Very Rare","open","12808.88","12,808 gp","Algorithm","True"
"Light Hammer of Certain Death","EGW","M|XPHB","Rare","No","3875.32","3,875 gp","Algorithm","True"
"Light Hammer of the Sun And Moon","ObojimaTallGrass","M","Rare","open","3439.4","3,439 gp","Algorithm","True"
"Light Hammer of Warning","XDMG","M|XPHB","Uncommon","open","652.97","652 gp","Algorithm","True"
"Light Hammer Time (uncommon)","HelianasGuidetoMonsterHunting","M","Uncommon","No","2165.62","2,165 gp","Algorithm","True"
"Light Hammer Time (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","No","16362.5","16,362 gp","Algorithm","True"
"Light Repeating Crossbow of Certain Death","EGW","R","Rare","No","4015.73","4,015 gp","Algorithm","True"
"Light Repeating Crossbow of the Sun And Moon","ObojimaTallGrass","R","Rare","open","3632.25","3,632 gp","Algorithm","True"
"Light Repeating Crossbow of Warning","XDMG","R","Uncommon","open","676.66","676 gp","Algorithm","True"
"Light Sentira Lens of Warning","XDMG","R","Uncommon","open","659.79","659 gp","Algorithm","True"
"Light Tommybow (2) of Warning","XDMG","R","Uncommon","open","676.66","676 gp","Algorithm","True"
"Light Tommybow (3) of Warning","XDMG","R","Uncommon","open","676.66","676 gp","Algorithm","True"
"Light Tommybow (4) of Warning","XDMG","R","Uncommon","open","676.66","676 gp","Algorithm","True"
"Light Tommybow (5) of Warning","XDMG","R","Uncommon","open","676.66","676 gp","Algorithm","True"
"Light Tommybow (6) of Warning","XDMG","R","Uncommon","open","676.66","676 gp","Algorithm","True"
"Lightbringer","PaBTSO","M","Uncommon","No","624.45","624 gp","Algorithm","False"
"Lightning Absorbing Tattoo","TCE","","Very Rare","open","11699.43","11,699 gp","Algorithm","False"
"Living Armor","ERLW","GV|DMG","Very Rare","open","11046.36","11,046 gp","Amalgamated (MSRP,DMPG)","True"
"Living Breastplate","ERLW","MA|XPHB","Very Rare","open","14310.0","14,310 gp","Algorithm","True"
"Living Chain Mail","ERLW","HA|XPHB","Very Rare","open","15103.29","15,103 gp","Algorithm","True"
"Living Chain Shirt","ERLW","MA|XPHB","Very Rare","open","14003.36","14,003 gp","Algorithm","True"
"Living Gloves","ERLW","","Uncommon","open","647.07","647 gp","Amalgamated (MSRP,DMPG)","True"
"Living Half Plate Armor","ERLW","MA|XPHB","Very Rare","open","14796.64","14,796 gp","Algorithm","True"
"Living Hide Armor","ERLW","MA|XPHB","Very Rare","open","13696.71","13,696 gp","Algorithm","True"
"Living Leather Armor","ERLW","LA|XPHB","Very Rare","open","13390.07","13,390 gp","Algorithm","True"
"Living Leather Corslet","ERLW","LA","Very Rare","open","13696.71","13,696 gp","Algorithm","True"
"Living Leather Shirt","ERLW","LA","Very Rare","open","13390.07","13,390 gp","Algorithm","True"
"Living Loot Satchel","AI","","Varies","No","750.0","750 gp","Algorithm","False"
"Living Padded Armor","ERLW","LA|XPHB","Very Rare","open","13570.07","13,570 gp","Algorithm","True"
"Living Plate Armor","ERLW","HA|XPHB","Very Rare","open","15716.57","15,716 gp","Algorithm","True"
"Living Ring Mail","ERLW","HA|XPHB","Very Rare","open","14490.0","14,490 gp","Algorithm","True"
"Living Ring-Mail","ERLW","HA","Very Rare","open","14796.64","14,796 gp","Algorithm","True"
"Living Scale Armour","ERLW","MA","Very Rare","open","14490.0","14,490 gp","Algorithm","True"
"Living Scale Mail","ERLW","MA|XPHB","Very Rare","open","14490.0","14,490 gp","Algorithm","True"
"Living Spiked Armor","ERLW","MA","Very Rare","open","14490.0","14,490 gp","Algorithm","True"
"Living Splint Armor","ERLW","HA|XPHB","Very Rare","open","15409.93","15,409 gp","Algorithm","True"
"Living Studded Leather Armor","ERLW","LA|XPHB","Very Rare","open","13696.71","13,696 gp","Algorithm","True"
"Loadstone","TftYP","","Rare","No","575.63","575 gp","Amalgamated (MSRP,DMPG)","True"
"Lock of Trickery","XDMG","","Common","No","75.88","75 gp","Amalgamated (MSRP,DMPG)","True"
"Lom Lom Dagger Armblade","ERLW","M","Common","class","77.68","77 gp","Algorithm","True"
"Lom Lom Dagger of Certain Death","EGW","M","Rare","No","3844.75","3,844 gp","Algorithm","True"
"Lom Lom Dagger of Throne's Command","BMT","M","Very Rare","open","15053.9","15,053 gp","Algorithm","True"
"Lom Lom Dagger of Warning","XDMG","M","Uncommon","open","647.81","647 gp","Algorithm","True"
"Long Sword Armblade","ERLW","M","Common","class","87.36","87 gp","Algorithm","True"
"Long Sword Between Worlds","MonstersOfDrakkenheim","M","Very Rare","open","15187.5","15,187 gp","Algorithm","True"
"Long Sword of Certain Death","EGW","M","Rare","No","3993.2","3,993 gp","Algorithm","True"
"Long Sword of Retribution","MonstersOfDrakkenheim","M","Rare","class","3200.0","3,200 gp","Algorithm","True"
"Long Sword of the Planes","BMT","M","Legendary","open","13455.0","13,455 gp","Algorithm","True"
"Long Sword of Throne's Command","BMT","M","Very Rare","open","15687.26","15,687 gp","Algorithm","True"
"Long Sword of Warning","XDMG","M","Uncommon","open","672.86","672 gp","Algorithm","True"
"Longbow of Certain Death","EGW","R|XPHB","Rare","No","3975.32","3,975 gp","Algorithm","True"
"Longbow of Conflagration","BMT","R|XPHB","Rare","open","3735.0","3,735 gp","Algorithm","True"
"Longbow of Melodies","BMT","R|XPHB","Very Rare","open","12605.62","12,605 gp","Algorithm","True"
"Longbow of the Cobra","GriffonsSaddlebag2","R|XPHB","Rare","open","5602.5","5,602 gp","Algorithm","True"
"Longbow of the Healing Hearth","BGG","R","Legendary","open","34157.25","34,157 gp","Algorithm","False"
"Longbow of the Spelldrinker","GriffonsSaddlebag2","R|XPHB","Very Rare","open","12605.62","12,605 gp","Algorithm","True"
"Longbow of the Sun And Moon","ObojimaTallGrass","R","Rare","open","3574.4","3,574 gp","Algorithm","True"
"Longbow of the Twilight Valkyrie","GriffonsSaddlebag2","R|XPHB","Rare","No","4150.0","4,150 gp","Algorithm","True"
"Longbow of Throne's Command","BMT","R|XPHB","Very Rare","open","15598.82","15,598 gp","Algorithm","True"
"Longbow of Warning","XDMG","R|XPHB","Uncommon","open","669.84","669 gp","Algorithm","True"
"Longsword Armblade","ERLW","M|XPHB","Common","class","87.36","87 gp","Algorithm","True"
"Longsword Between Worlds","MonstersOfDrakkenheim","M|XPHB","Very Rare","open","15187.5","15,187 gp","Algorithm","True"
"Longsword Bonze's Bokken, Wind Ripper (legendary)","HelianasGuidetoMonsterHunting","M","Legendary","open","49050.0","49,050 gp","Algorithm","True"
"Longsword Bonze's Bokken, Wind Ripper (rare)","HelianasGuidetoMonsterHunting","M","Rare","open","6750.0","6,750 gp","Algorithm","True"
"Longsword Bonze's Bokken, Wind Ripper (uncommon)","HelianasGuidetoMonsterHunting","M","Uncommon","open","2925.0","2,925 gp","Algorithm","True"
"Longsword Bonze's Bokken, Wind Ripper (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","open","16650.0","16,650 gp","Algorithm","True"
"Longsword Jaw Breakers (rare)","HelianasGuidetoMonsterHunting","M","Rare","class","580.0","580 gp","Algorithm","True"
"Longsword Jaw Breakers (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","class","2720.0","2,720 gp","Algorithm","True"
"Longsword of Agonizing Paralysis","CoA","M|XPHB","Very Rare","open","13455.0","13,455 gp","Algorithm","True"
"Longsword of Certain Death","EGW","M|XPHB","Rare","No","3993.2","3,993 gp","Algorithm","True"
"Longsword of Grass","BookOfEbonTides","M|XPHB","Uncommon","class","4800.0","4,800 gp","Algorithm","True"
"Longsword of Life Stealing","XDMG","M|XPHB","Rare","open","3600.0","3,600 gp","Algorithm","True"
"Longsword of Retribution","CoA","M|XPHB","Very Rare","open","8327.5","8,327 gp","Algorithm","True"
"Longsword of Retribution","MonstersOfDrakkenheim","M|XPHB","Rare","class","3200.0","3,200 gp","Algorithm","True"
"Longsword of Sharpness","XDMG","M|XPHB","Very Rare","open","11616.95","11,616 gp","Algorithm","True"
"Longsword of the Medusa","LLK","M|XPHB","Very Rare","open","9112.5","9,112 gp","Algorithm","True"
"Longsword of the Planes","BMT","M|XPHB","Legendary","open","13455.0","13,455 gp","Algorithm","True"
"Longsword of the Sun And Moon","ObojimaTallGrass","M","Rare","open","3600.0","3,600 gp","Algorithm","True"
"Longsword of the Wood","HumblewoodCampaignSetting","M|XPHB","Rare","open","5850.0","5,850 gp","Algorithm","True"
"Longsword of Throne's Command","BMT","M|XPHB","Very Rare","open","15687.26","15,687 gp","Algorithm","True"
"Longsword of Vengeance","XDMG","M|XPHB","Uncommon","open","652.5","652 gp","Algorithm","True"
"Longsword of Warning","XDMG","M|XPHB","Uncommon","open","672.86","672 gp","Algorithm","True"
"Longsword of Wounding","XDMG","M|XPHB","Rare","open","3600.0","3,600 gp","Algorithm","True"
"Longsword Pneuma Blade (rare)","HelianasGuidetoMonsterHunting","M","Rare","No","3674.51","3,674 gp","Algorithm","True"
"Longsword Pneuma Blade (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","No","12401.48","12,401 gp","Algorithm","True"
"Longsword Tail's End (rare)","HelianasGuidetoMonsterHunting","M","Rare","No","4000.0","4,000 gp","Algorithm","True"
"Longsword Tail's End (very rare)","HelianasGuidetoMonsterHunting","M","Very Rare","No","13500.0","13,500 gp","Algorithm","True"
"Lord Commander's Badge","DungeonsDrakkenheim","","Rare","open","3070.25","3,070 gp","Algorithm","False"
"Lord's Ensemble","WDH","","Very Rare","class","6321.25","6,321 gp","Amalgamated (MSRP,DMPG)","True"
"Lorehold Primer","SCC","","Uncommon","class","1015.37","1,015 gp","Algorithm","False"
"Lost Crown of Besilmer","PotA","","Legendary","open","27518.59","27,518 gp","Single source (DMPG)","True"
"Luba's Tarokka of Souls","TCE","","Artifact","open","135000.0","135,000 gp","Algorithm","False"
"Lucent Destroyer","BGG","R","Very Rare","open","6093.21","6,093 gp","Algorithm","False"
"Luck Blade","XDMG","GV|XDMG","Legendary","open","43391.56","43,391 gp","Single source (DSA)","True"
"Luck Glaive","XDMG","M|XPHB","Legendary","open","74558.69","74,558 gp","Algorithm","True"
"Luck Greatsword","XDMG","M|XPHB","Legendary","open","77228.32","77,228 gp","Algorithm","True"
"Luck Longsword","XDMG","M|XPHB","Legendary","open","71190.0","71,190 gp","Algorithm","True"
"Luck Rapier","XDMG","M|XPHB","Legendary","open","69219.44","69,219 gp","Algorithm","True"
"Luck Scimitar","XDMG","M|XPHB","Legendary","open","68520.38","68,520 gp","Algorithm","True"
"Luck Shortsword","XDMG","M|XPHB","Legendary","open","66549.82","66,549 gp","Algorithm","True"
"Luck Sickle","XDMG","M|XPHB","Legendary","open","66549.82","66,549 gp","Algorithm","True"
"Luminescence Battleaxe","TLotRR","M","Unknown Magic","No","730.41","730 gp","Algorithm","True"
"Luminescence Club","TLotRR","M","Unknown Magic","No","690.18","690 gp","Algorithm","True"
"Luminescence Dagger","TLotRR","M","Unknown Magic","No","677.14","677 gp","Algorithm","True"
"Luminescence Double-Bladed Scimitar","TLotRR","M","Unknown Magic","No","738.04","738 gp","Algorithm","True"
"Luminescence Flail","TLotRR","M","Unknown Magic","No","717.37","717 gp","Algorithm","True"
"Luminescence Glaive","TLotRR","M","Unknown Magic","No","738.04","738 gp","Algorithm","True"
"Luminescence Greataxe","TLotRR","M","Unknown Magic","No","768.13","768 gp","Algorithm","True"
"Luminescence Greatclub","TLotRR","M","Unknown Magic","No","747.65","747 gp","Algorithm","True"
"Luminescence Greatsword","TLotRR","M","Unknown Magic","No","765.23","765 gp","Algorithm","True"
"Luminescence Halberd","TLotRR","M","Unknown Magic","No","738.04","738 gp","Algorithm","True"
"Luminescence Handaxe","TLotRR","M","Unknown Magic","No","690.18","690 gp","Algorithm","True"
"Luminescence Hooked Shortspear","TLotRR","M","Unknown Magic","No","690.18","690 gp","Algorithm","True"
"Luminescence Hoopak","TLotRR","M","Unknown Magic","No","690.18","690 gp","Algorithm","True"
"Luminescence Javelin","TLotRR","M","Unknown Magic","No","690.18","690 gp","Algorithm","True"
"Luminescence Lance","TLotRR","M","Unknown Magic","No","765.23","765 gp","Algorithm","True"
"Luminescence Light Hammer","TLotRR","M","Unknown Magic","No","690.18","690 gp","Algorithm","True"
"Luminescence Longsword","TLotRR","M","Unknown Magic","No","725.0","725 gp","Algorithm","True"
"Luminescence Mace","TLotRR","M","Unknown Magic","No","703.22","703 gp","Algorithm","True"
